N°Reportage,Date,Intitulé,Lieux,Photographe
70085,28/06/07,"Point presse du porte-parolede l'Élysée, DavidMARTINON",Élysée,L.Blevennec
70087,28/06/07,"Entretien avec LouisMICHEL, commissaireeuropéen au développementet l'aide humanitaire",Élysée,M.Klein
70089,28/06/07,Remise de décoration àBarbara STRAISAND,Élysée,L.Blevennec
70090,29/06/07,Visite des entreprises SAFontanel et Variopyic àLyon,Rhône,M.Klein
70091,29/06/07,"Entretien avec MahmoudABBAS, Président del'autorité palestinienne",Élysée,L.Blevennec
70093,02/07/07,Entretien avecl'intersyndicale d'Alcatel,Élysée,A.Roine
70094,02/07/07,Déplacement à Strasbourgsur le thème de l'Europe,Bas-Rhin,D.Noizet
70095,03/07/07,Déplacement à Marseille àl'occasion de l'inaugurationdu tramway,Bouches-du-Rhône,A.Roine
70096,04/07/07,Entretien avec le RoiAbdullah II Hussein deJordanie,Élysée,A.Roine
70097,04/07/07,"Entretien avec Tzipi LIVNI,Vice-Premier ministre,ministre des Affairesétrangères de l'État d'Israël",Élysée,D.Noizet
70098,04/07/07,Déplacement à Lisbonne àl'occasion du premierSommet Union Européen-Brésil,Portugal,M.Klein
70099,05/07/07,Entretien avec JacquesDELORS,Élysée,A.Roine
70100,05/07/07,"Entretien avec PascalLAMY, Directeur Généralde l'OMC",Élysée,A.Roine
70101,05/07/07,Installation du PremierPrésident de la Cour d'Appelde Paris de Jean-ClaudeMAGENDIE,Paris,A.Roine
70103,05/07/07,"Entretien avec FrançoiseRUDETZKI, Président deSOS Attentats, SOSTerrorisme (Didier Noizet)",Élysée,D.Noizet
70104,05/07/200,Entretien avec John Mc,Élysée,A.Roine
,7,"CAIN, Sénateur del'Arizona, candidat auxprimaires du PartiRépublicain pour l'électionprésidentielle américaine",,
70105,05/07/07,"Entretien avec DenisSASSOU-NGUESSO,Président du Congo",Élysée,A.Roine
70106,06/07/07,Obsèques de ClaudePOMPIDOU en l'égliseSaint-Louis,Paris,M.Klein
70107,06/07/07,"Entretien avec JeanCHAREST, PremierMinistre du Québec",Élysée,A.Roine
70108,06/07/07,"Entretien avec LaurentFABIUS, ancien PremierMinistre",Élysée,M.Klein
70109,06/07/07,Réunion avec desspécialistes es changementsclimatiques,Élysée,A.Roine
70110,09/07/07,"Entretien avec les famillesdes trois soldats israéliensenlevés au Sud Liban par leHezbollah, dans la bande deGaza par le Hamas",Élysée,D.Noizet
